species	Run01_soil_barcode01	Run01_soil_barcode02	Run01_soil_barcode03	Run01_soil_barcode04	Run01_soil_barcode05	Run01_soil_barcode06	Run01_soil_barcode07	Run01_soil_barcode08	Run01_soil_barcode09	Run01_soil_barcode10	Run01_soil_barcode11	Run01_soil_barcode12	Run01_soil_barcode13	Run01_soil_barcode14	Run01_soil_barcode15	Run01_soil_barcode16	Run01_soil_barcode17	Run01_soil_barcode18	Run01_soil_barcode19	Run01_soil_barcode20	Run01_soil_barcode21	Run01_soil_barcode22	Run01_soil_barcode23	Run01_soil_barcode24	Run02_soil_barcode01	Run02_soil_barcode02	Run02_soil_barcode03	Run02_soil_barcode04	Run02_soil_barcode05	Run02_soil_barcode06	Run02_soil_barcode07	Run02_soil_barcode08	Run02_soil_barcode09	Run02_soil_barcode10	Run02_soil_barcode11	Run02_soil_barcode12	Run02_soil_barcode13	Run02_soil_barcode14	Run02_soil_barcode15	Run02_soil_barcode16	Run02_soil_barcode17	Run02_soil_barcode18	Run02_soil_barcode19	Run02_soil_barcode20	Run02_soil_barcode21	Run02_soil_barcode22	Run03_swab_barcode01	Run03_swab_barcode02	Run03_swab_barcode03	Run03_swab_barcode04	Run03_swab_barcode05	Run03_swab_barcode06	Run03_swab_barcode07	Run03_swab_barcode08	Run03_swab_barcode09	Run03_swab_barcode10	Run03_swab_barcode11	Run03_swab_barcode12	Run03_swab_barcode13	Run03_swab_barcode14	Run03_swab_barcode15	Run03_swab_barcode16	Run03_swab_barcode17	Run03_swab_barcode18	Run03_swab_barcode19	Run03_swab_barcode20	Run03_swab_barcode21	Run03_swab_barcode22	Run03_swab_barcode23	Run03_swab_barcode24	Run04_swab_barcode01	Run04_swab_barcode02	Run04_swab_barcode03	Run04_swab_barcode04	Run04_swab_barcode05	Run04_swab_barcode06	Run04_swab_barcode07	Run04_swab_barcode08	Run04_swab_barcode09	Run04_swab_barcode10	Run04_swab_barcode11	Run04_swab_barcode12	Run04_swab_barcode13	Run04_swab_barcode14	Run04_swab_barcode15	Run04_swab_barcode16	Run04_swab_barcode17	Run04_swab_barcode18	Run04_swab_barcode19	Run04_swab_barcode20	Run04_swab_barcode21	Run04_swab_barcode22	Run04_swab_barcode23	Run05_fecal_barcode01	Run05_fecal_barcode02	Run05_fecal_barcode03	Run05_fecal_barcode04	Run05_fecal_barcode05	Run05_fecal_barcode06	Run05_fecal_barcode07	Run05_fecal_barcode08	Run05_fecal_barcode09	Run05_fecal_barcode10	Run05_fecal_barcode11	Run05_fecal_barcode12	Run05_fecal_barcode13	Run05_fecal_barcode14	Run05_fecal_barcode15	Run05_fecal_barcode16	Run05_fecal_barcode17	Run05_fecal_barcode18	Run05_fecal_barcode19	Run05_fecal_barcode20	Run06_fecal_barcode01	Run06_fecal_barcode02	Run06_fecal_barcode03	Run06_fecal_barcode04	Run06_fecal_barcode05	Run06_fecal_barcode06	Run06_fecal_barcode07	Run06_fecal_barcode08	Run06_fecal_barcode09	Run06_fecal_barcode10	Run06_fecal_barcode11	Run06_fecal_barcode17	Run06_fecal_barcode18	Run06_fecal_barcode19	Run06_fecal_barcode20	Run06_fecal_barcode21	Run06_fecal_barcode22	Run06_fecal_barcode23	Run06_fecal_barcode24	Run07_fecal_barcode09	Run07_fecal_barcode10	Run07_fecal_barcode11	Run07_fecal_barcode12	Run07_fecal_barcode13	Run07_fecal_barcode14	Run07_fecal_barcode15	Run07_fecal_barcode16	Run07_fecal_barcode17	Run07_fecal_barcode18	Run07_fecal_barcode19	Run07_fecal_barcode20	Run07_fecal_barcode21	Run07_fecal_barcode22	Run07_fecal_barcode23	Run07_fecal_barcode24
Abiotrophia defectiva																																															5.0	1.0										20.0					12.000000000000002			465.0					18.0	10.0		12.0												54.0																																																											921.2035859901041			
Acanthopleuribacter pedis				15.354322294452569											12.004793299530244				13.104194745269	22.7610327755167																																																																																																																																
Acetanaerobacterium elongatum														118.39593312972292																																																																																																												24.69855649195108					11.04270065834294							16.88398793442341	19.04056713259384		14.759758991492117						33.7573389497088			10.344080251470864		
Acetivibrio ethanolgignens																																																																																																																																																		12.497001575716492		11.005401743357472
Acetobacter tropicalis																																																																																								16.003886029755602																																																												
Acetobacteroides hydrogenigenes																																																																																																										32.852943021241934																																										
Acholeplasma axanthum																																																																																																																							19.00100195286711	36.0														78.15245989389673		26.652106985418982												24.90283073164113
Achromobacter denitrificans																																													24.285025379919247																																																																																																							
Achromobacter spanius				55.0				15.0		31.0	258.05852896027807			24.0	72.4321111576097		200.66128437019142	172.87228768889878	21.000000000000142				38.265528698523326	16.58315777590179	40.00000005199434	15.0	100.0	40.999999894909735	128.0	16.0		55.032105039684524	50.99999999999999	153.99999985747766	114.0	112.5384282342723	318.4848499922	15.0		20.99699593933385	67.0	47.00000000001872		159.24918401973449	243.37026314366676																																						11.0																																																																	
Achromobacter xylosoxidans											15.26302648463402				128.5680095224279	20.000080228040847	64.33857287005951	83.12771231110149		33.0				13.416842224098213												20.46158843120183	29.914230927279533							43.70763441150977																																																																																																								
Acidaminococcus fermentans																																																																																																																													32.0																	12.957650157470507						
Acidaminococcus intestini																																																																																																	76.01286871972613																																																			
Acidibacter ferrireducens	203.00000000000003	120.0	58.00000000000001	206.0		235.99999996261826	90.0	142.0	173.64942451342486		135.99802630704121	503.00000000000006	67.0	76.0	143.99999999999997	119.0	59.0	78.0	143.0	103.0	102.29816879523071	163.0	78.99997087125494	73.85385773339712	272.00000000000006	149.0	242.00000000000003	263.0	17.0	12.0	34.0	49.00000000000001	23.0	139.0	153.0	249.0000000000001	186.0	131.0	46.0	79.99999999999999	31.0	185.0	142.0	49.0	172.0																												12.0																																																																											
Acidibrevibacterium fodinaquatile												17.27798306043168																												14.99999973027166																																																																																																												
Acidicapsa acidisoli	103.29654007107145	121.12782581369196	36.32828282038372	96.6309475962132	13.832421013500225	55.59519130574463	20.965693133999718	67.64972600378597	377.10937393421233	18.995833417377455	56.86662673873935	45.536126646175575	19.00000000000021	50.28914491484064	37.70706186316029		40.133873756382826	39.17715667178454	78.12354091116308	138.77705795161356	23.004130278466853	138.5545304179619	80.44387488771692	63.31679744989472	195.25552492710503	14.999803892683751	79.66156593270856	84.8654100591685		19.446414021154435	40.06014772008661	26.485298726099288	50.02982130173724	103.62936115195964	31.612155658307422	47.16636195706754	40.658511718806146	37.73203742388885	29.41297128736043	164.09940049129767	36.915814717992504	202.8651145084833	123.36846940229124	91.34994849085085	36.3309606990033																																																																																																							
Acidihalobacter prosperus																																					11.08619783131062																																																																																																															
Acidimicrobium ferrooxidans												47.84892434915335																									15.3816783475129																																																																																																															
Acidipila dinghuensis																																																																																								13.0																																																												
Acidisarcina polymorpha	28.010158774125053					45.606907836955116			28.556947892004317											16.95436155197322		38.099622973179606			15.746044521480796		12.412334099008241					109.80564205895958					18.352705848445378			16.18178633972989		35.79934170262492																																																																																																										
